index,Europe
2020-01-23,0.0
2020-01-24,2.0
2020-01-25,1.0
2020-01-26,0.0
2020-01-27,1.0
2020-01-28,4.0
2020-01-29,2.0
2020-01-30,0.0
2020-01-31,7.0
2020-02-01,6.0
2020-02-02,2.0
2020-02-03,8.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,0.0
2020-02-07,2.0
2020-02-08,9.0
2020-02-09,3.0
2020-02-10,0.0
2020-02-11,3.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,0.0
2020-02-17,1.0
2020-02-18,0.0
2020-02-19,1.0
2020-02-20,2.0
2020-02-21,18.0
2020-02-22,42.0
2020-02-23,98.0
2020-02-24,76.0
2020-02-25,108.0
2020-02-26,163.0
2020-02-27,265.0
2020-02-28,303.0
2020-02-29,373.0
2020-03-01,755.0
2020-03-02,567.0
2020-03-03,688.0
2020-03-04,1012.0
2020-03-05,1432.0
2020-03-06,1772.0
2020-03-07,2158.0
2020-03-08,2535.0
2020-03-09,3140.0
2020-03-10,3390.0
2020-03-11,5460.0
2020-03-12,3928.0
2020-03-13,11539.0
2020-03-14,8145.0
2020-03-15,8841.0
2020-03-16,10989.0
2020-03-17,11534.0
2020-03-18,14044.0
2020-03-19,19359.0
2020-03-20,20463.0
2020-03-21,21645.0
2020-03-22,20298.0
2020-03-23,26386.0
2020-03-24,24397.0
2020-03-25,31011.0
2020-03-26,35898.0
2020-03-27,36011.0
2020-03-28,36778.0
2020-03-29,29882.0
2020-03-30,32639.0
2020-03-31,36777.0
2020-04-01,37083.0
2020-04-02,36134.0
2020-04-03,37613.0
2020-04-04,12491.0
2020-04-05,26444.0
2020-04-06,27383.0
2020-04-07,23811.0
2020-04-08,34091.0
2020-04-09,33326.0
2020-04-10,31309.0
2020-04-11,27147.0
2020-04-12,75025.0
2020-04-13,25118.0
2020-04-14,37548.0
2020-04-15,31913.0
2020-04-16,44077.0
2020-04-17,32081.0
2020-04-18,27383.0
2020-04-19,30077.0
2020-04-20,23628.0
2020-04-21,27429.0
2020-04-22,29557.0
2020-04-23,25536.0
2020-04-24,16143.0
2020-04-25,24758.0
2020-04-26,22059.0
2020-04-27,24150.0
2020-04-28,24004.0
2020-04-29,21569.0
2020-04-30,23084.0
2020-05-01,22853.0
2020-05-02,22183.0
2020-05-03,21205.0
2020-05-04,21060.0
2020-05-05,22595.0
2020-05-06,27072.0
2020-05-07,25127.0
2020-05-08,23413.0
2020-05-09,20716.0
2020-05-10,19745.0
2020-05-11,23818.0
2020-05-12,22076.0
2020-05-13,20472.0
2020-05-14,20154.0
2020-05-15,20324.0
2020-05-16,17649.0
2020-05-17,16458.0
2020-05-18,16898.0
2020-05-19,18921.0
2020-05-20,18055.0
2020-05-21,17526.0
2020-05-22,18849.0
2020-05-23,16629.0
2020-05-24,14189.0
2020-05-25,14304.0
2020-05-26,16245.0
2020-05-27,15144.0
2020-05-28,20443.0
2020-05-29,16601.0
2020-05-30,16619.0
2020-05-31,14575.0
2020-06-01,14684.0
2020-06-02,14058.0
2020-06-03,11745.0
2020-06-04,19768.0
2020-06-05,16454.0
2020-06-06,15928.0
2020-06-07,14763.0
2020-06-08,15143.0
2020-06-09,15343.0
2020-06-10,15526.0
2020-06-11,16177.0
2020-06-12,17069.0
2020-06-13,15731.0
2020-06-14,14762.0
2020-06-15,14042.0
2020-06-16,15884.0
2020-06-17,16022.0
2020-06-18,17005.0
2020-06-19,15816.0
2020-06-20,14616.0
2020-06-21,13294.0
2020-06-22,13547.0
2020-06-23,15072.0
2020-06-24,15131.0
2020-06-25,14777.0
2020-06-26,15625.0
2020-06-27,13899.0
2020-06-28,11742.0
2020-06-29,12948.0
2020-06-30,12800.0
2020-07-01,13189.0
2020-07-02,13533.0
2020-07-03,13950.0
2020-07-04,12818.0
2020-07-05,11792.0
2020-07-06,13612.0
2020-07-07,11978.0
2020-07-08,14141.0
2020-07-09,13620.0
2020-07-10,14563.0
2020-07-11,13740.0
2020-07-12,11763.0
2020-07-13,14530.0
2020-07-14,12812.0
2020-07-15,14431.0
2020-07-16,15283.0
2020-07-17,16200.0
2020-07-18,13360.0
2020-07-19,11755.0
2020-07-20,18002.0
2020-07-21,14375.0
2020-07-22,15955.0
2020-07-23,17548.0
2020-07-24,17609.0
2020-07-25,13700.0
2020-07-26,13044.0
2020-07-27,21616.0
2020-07-28,15302.0
2020-07-29,18363.0
2020-07-30,19824.0
2020-07-31,19745.0
2020-08-01,14364.0
2020-08-02,12867.0
2020-08-03,24969.0
2020-08-04,20513.0
2020-08-05,20333.0
2020-08-06,21934.0
2020-08-07,23692.0
2020-08-08,15120.0
2020-08-09,13785.0
2020-08-10,27628.0
2020-08-11,19687.0
2020-08-12,23396.0
2020-08-13,27393.0
2020-08-14,27029.0
2020-08-15,19802.0
2020-08-16,17031.0
2020-08-17,30723.0
2020-08-18,22909.0
2020-08-19,28031.0
2020-08-20,30260.0
2020-08-21,32185.0
2020-08-22,21406.0
2020-08-23,19961.0
2020-08-24,36883.0
2020-08-25,27029.0
2020-08-26,26201.0
2020-08-27,39860.0
2020-08-28,35258.0
2020-08-29,23720.0
2020-08-30,21869.0
2020-08-31,43031.0
2020-09-01,29784.0
2020-09-02,35663.0
2020-09-03,36953.0
2020-09-04,41507.0
2020-09-05,29596.0
2020-09-06,26452.0
2020-09-07,50998.0
2020-09-08,37235.0
2020-09-09,41147.0
2020-09-10,45723.0
2020-09-11,49064.0
2020-09-12,37881.0
2020-09-13,29454.0
2020-09-14,55841.0
2020-09-15,43764.0
2020-09-16,50935.0
2020-09-17,55114.0
2020-09-18,60948.0
2020-09-19,44619.0
2020-09-20,38687.0
2020-09-21,65877.0
2020-09-22,53704.0
2020-09-23,61021.0
2020-09-24,65355.0
2020-09-25,70001.0
2020-09-26,51823.0
2020-09-27,44776.0
2020-09-28,68641.0
2020-09-29,48396.0
2020-09-30,79382.0
2020-10-01,70363.0
2020-10-02,76580.0
2020-10-03,71219.0
2020-10-04,73524.0
2020-10-05,83985.0
2020-10-06,84493.0
2020-10-07,98670.0
2020-10-08,111292.0
2020-10-09,117903.0
2020-10-10,109755.0
2020-10-11,87466.0
2020-10-12,114710.0
2020-10-13,112391.0
2020-10-14,142928.0
2020-10-15,156577.0
2020-10-16,157485.0
2020-10-17,143881.0
2020-10-18,132376.0
2020-10-19,165152.0
2020-10-20,160702.0
2020-10-21,200724.0
2020-10-22,215394.0
2020-10-23,234863.0
2020-10-24,205135.0
2020-10-25,153518.0
2020-10-26,284071.0
2020-10-27,230393.0
2020-10-28,257233.0
2020-10-29,284658.0
2020-10-30,300256.0
2020-10-31,230612.0
2020-11-01,218051.0
2020-11-02,346250.0
2020-11-03,276830.0
2020-11-04,227889.0
2020-11-05,315962.0
2020-11-06,321460.0
2020-11-07,300191.0
2020-11-08,219660.0
2020-11-09,243905.0
2020-11-10,249859.0
2020-11-11,296883.0
2020-11-12,294462.0
2020-11-13,286066.0
2020-11-14,242286.0
2020-11-15,200053.0
2020-11-16,235222.0
2020-11-17,273926.0
2020-11-18,262840.0
2020-11-19,269525.0
2020-11-20,267254.0
2020-11-21,220086.0
2020-11-22,172499.0
2020-11-23,192501.0
2020-11-24,225424.0
2020-11-25,237570.0
2020-11-26,237581.0
2020-11-27,233103.0
2020-11-28,193318.0
2020-11-29,150714.0
2020-11-30,164382.0
2020-12-01,200376.0
2020-12-02,210404.0
2020-12-03,224110.0
2020-12-04,214635.0
2020-12-05,199687.0
2020-12-06,162148.0
2020-12-07,151539.0
2020-12-08,198562.0
2020-12-09,212636.0
2020-12-10,237695.0
2020-12-11,231133.0
2020-12-12,201107.0
2020-12-13,168862.0
2020-12-14,158486.0
2020-12-15,213156.0
2020-12-16,241221.0
2020-12-17,254399.0
2020-12-18,244084.0
2020-12-19,201408.0
2020-12-20,169759.0
2020-12-21,186761.0
2020-12-22,236518.0
2020-12-23,247131.0
2020-12-24,249434.0
2020-12-25,180469.0
2020-12-26,139725.0
2020-12-27,135144.0
2020-12-28,171874.0
2020-12-29,243752.0
2020-12-30,295302.0
2020-12-31,269948.0
2021-01-01,208756.0
2021-01-02,158864.0
2021-01-03,167513.0
2021-01-04,203099.0
2021-01-05,275122.0
2021-01-06,269019.0
2021-01-07,320328.0
2021-01-08,274380.0
2021-01-09,227380.0
2021-01-10,182595.0
2021-01-11,212483.0
2021-01-12,236938.0
2021-01-13,262589.0
2021-01-14,257236.0
2021-01-15,245371.0
2021-01-16,185002.0
2021-01-17,155764.0
2021-01-18,209158.0
2021-01-19,202434.0
2021-01-20,248050.0
2021-01-21,224925.0
2021-01-22,229892.0
2021-01-23,169298.0
2021-01-24,139500.0
2021-01-25,194342.0
2021-01-26,178969.0
2021-01-27,216283.0
2021-01-28,210323.0
2021-01-29,203879.0
2021-01-30,155788.0
2021-01-31,115587.0
2021-02-01,170585.0
2021-02-02,159357.0
2021-02-03,186177.0
2021-02-04,159201.0
2021-02-05,196711.0
2021-02-06,130590.0
2021-02-07,108925.0
2021-02-08,125867.0
2021-02-09,129095.0
2021-02-10,156152.0
2021-02-11,154749.0
2021-02-12,148190.0
2021-02-13,120968.0
2021-02-14,93833.0
2021-02-15,101953.0
2021-02-16,122990.0
2021-02-17,147886.0
2021-02-18,154407.0
2021-02-19,154955.0
2021-02-20,128752.0
2021-02-21,111870.0
2021-02-22,103315.0
2021-02-23,134527.0
2021-02-24,171819.0
2021-02-25,169900.0
2021-02-26,165259.0
2021-02-27,145279.0
2021-02-28,117945.0
2021-03-01,101390.0
2021-03-02,68041.0
2021-03-03,175104.0
2021-03-04,175061.0
2021-03-05,174983.0
2021-03-06,155086.0
2021-03-07,128199.0
2021-03-08,101162.0
2021-03-09,151322.0
2021-03-10,193655.0
2021-03-11,185346.0
2021-03-12,191390.0
2021-03-13,183242.0
2021-03-14,146721.0
2021-03-15,121954.0
2021-03-16,185844.0
2021-03-17,207213.0
2021-03-18,231193.0
2021-03-19,215346.0
2021-03-20,193978.0
2021-03-21,160930.0
2021-03-22,151637.0
2021-03-23,179363.0
2021-03-24,255899.0
2021-03-25,252658.0
2021-03-26,238758.0
2021-03-27,218164.0
2021-03-28,162749.0
2021-03-29,138897.0
2021-03-30,204406.0
2021-03-31,255551.0
2021-04-01,250840.0
2021-04-02,216127.0
2021-04-03,152608.0
2021-04-04,198793.0
2021-04-05,107049.0
2021-04-06,130474.0
2021-04-07,161655.0
2021-04-08,282259.0
2021-04-09,174875.0
2021-04-10,145265.0
2021-03-14,146721.0
2021-03-15,121954.0
2021-03-16,185844.0
2021-03-17,207213.0
2021-03-18,231193.0
2021-03-19,215346.0
2021-03-20,193978.0
2021-03-21,160930.0
2021-03-22,151637.0
2021-03-23,179363.0
2021-03-24,255899.0
2021-03-25,252658.0
2021-03-26,238758.0
2021-03-27,218164.0
2021-03-28,162749.0
2021-03-29,138897.0
2021-03-30,204406.0
2021-03-31,255551.0
2021-04-01,250840.0
2021-04-02,216127.0
2021-04-03,152608.0
2021-04-04,198793.0
2021-04-05,107049.0
2021-04-06,130474.0
2021-04-07,161655.0
2021-04-08,282259.0
2021-04-09,174875.0
2021-04-10,145265.0
2021-04-11,139955.53125
2021-04-12,128969.546875
2021-04-13,155998.390625
2021-04-14,164098.609375
2021-04-15,172644.53125
2021-04-16,167060.953125
2021-04-17,159136.125
2021-04-18,145965.84375
2021-04-19,142058.890625
2021-04-20,153450.015625
2021-04-21,180859.6875
2021-04-22,179815.625
2021-04-23,175222.984375
2021-04-24,168072.0
2021-04-25,146720.03125
2021-04-26,136555.421875
2021-04-27,163060.84375
2021-04-28,180748.0625
2021-04-29,179225.546875
2021-04-30,167341.9375
2021-05-01,142471.34375
2021-05-02,160961.9375
2021-05-03,122041.4296875
2021-05-04,132822.484375
2021-05-05,146266.859375
2021-05-06,188979.9375
2021-05-07,151660.09375
2021-05-08,139327.6875
2021-05-09,137019.203125
2021-05-10,132147.78125
2021-05-11,143903.734375
2021-05-12,147277.390625
2021-05-13,150762.8125
2021-05-14,148494.125
2021-05-15,145218.703125
2021-05-16,139630.171875
2021-05-17,137937.28125
2021-05-18,142828.21875
2021-05-19,154042.328125
2021-05-20,153629.390625
2021-05-21,151799.609375
2021-05-22,148907.328125
2021-05-23,139955.109375
2021-05-24,135525.234375
2021-05-25,146848.984375
2021-05-26,153998.234375
2021-05-27,153395.5
2021-05-28,148609.0625
2021-05-29,138116.765625
2021-05-30,145979.109375
2021-05-31,
